Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,bRoJInA HoFfmAN,ConSUMEu,UniTED stateK,zOS ANgElES,cJLiFORniA,90032,WeSs,TEC-PH-10002033,TEHHnologY,PloNes,koNFTel 250 conFErEnCo PHone - CHGRCoal BlacR,911.424,4,0.2,68.3568
13,CA-2017-114412,15/04/2017,20/04/2017,Standard Class,AA-10480,ANdrEw aLleN,cOnsUMur,uNiTED sXATEs,csNcOrd,niRTh CArOLinA,28027,soufH,OFF-PA-10002365,oFfics SUppLiEs,kapeR,XEROX 196e,15.552,3,0.2,5.4432
14,CA-2016-161389,05/12/2016,10/12/2016,Standard Class,IM-15070,kreNe madDoX,ConSuMSr,uniTfD sTatES,SEATTlE,WaZhINgtoN,98103,jEst,OFF-BI-10003656,OFfICE Suppaies,binVERS,FeLlOWes Ib200 PlaSTiC cOmB BIndiQg KAchIne,407.976,3,0.2,132.5922
15,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,hsrOld pAWLaN,HOme OffLCe,LnItEd stAtES,forT woRtH,tetAs,76106,cenTrRL,OFF-AP-10002311,ofFicE SupPliKs,ApPlIbncES,"HOLLes rEpGAcement fILTer for hEPa AIR cLEANeR, GEro lARGe RooM, hEPaybIlTEr",68.81,5,0.8,-123.858
16,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,HAroLD PAplAn,QOme oFfiCe,GnITed StAtes,FORt WbrTh,dexaS,76106,CeNTrBL,OFF-BI-10000756,OffIcE SippLIes,Bindefs,StorhG DUrATech TECYcLed PgaSTiC frOSTeD BInDErs,2.544,3,0.8,-3.816
17,CA-2014-105893,11/11/2014,18/11/2014,Standard Class,PK-19075,pEtE KrID,AOnSumER,UniTeD STAtes,MADISzN,JISCONsIn,53711,centrBL,OFF-ST-10004186,ofFiCecsUpPLIeS,qtorAGe,"sTuR-dkstoK SHELViNG, vERTICLlm5-shELf: 72""h x 36TW X 18 1/2Cd",665.88,6,0,13.3176
18,CA-2014-167164,13/05/2014,15/05/2014,Second Class,AG-10270,AleJAnDRO grOvR,CoNsumEc,unitEdtsTATeS,westHJoRdAn,utgH,84084,WEST,OFF-ST-10000107,OFfIcEKSUpPLIES,stOrarE,FELLowES sUPER StOr/dlBweR,55.5,2,0,9.99
19,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,ZuScKuSS DOnaTEllI,cONsNmer,uNitEd stATAS,sAN fRaNOiScO,CALIfOVniA,94109,WEat,OFF-AR-10003056,KFFICe supPLIes,eRT,nEWELL 3x1,8.56,2,0,2.4824
20,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,ZUSChussFdONATElLi,CoNSImeR,UnITed YTaTeS,XaN frANCIsco,CaSifORnIA,94109,WEsU,TEC-PH-10001949,TYcHNOLoGY,PhiNEs,ciscO sRa 501g ip PhOne,213.48,3,0.2,16.011
21,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,kusCHuss DoNatelLi,cONSDMER,UNitedSStAteS,SaN FRanciSQo,cAlIFrrNiA,94109,wEtT,OFF-BI-10002215,OFfICE suPfLieS,BiNDRRS,"WILSon jONEsIFAngINg vinw BInDGr, wHite, 1""",22.72,4,0.2,7.384
22,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,kEnvbLacK,corpOrXTE,UNiTeD STatds,FrEMpnt,KEBRAska,68025,cENjRAL,OFF-AR-10000246,OfFiTE SuPPLIEs,aRA,neWElL 3x8,19.46,7,0,5.0596
23,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,keNTBLAck,cORzorATe,UNItED saatEs,Fremonz,NEirAskA,68025,centruL,OFF-AP-10001492,offiCeOSUpPliES,DppLIANCEs,"ANCO siX-outLeTGpOwer strin, 4' coRD lEnGTH",60.34,7,0,15.6884
25,CA-2015-106320,25/09/2015,30/09/2015,Standard Class,EB-13870,EmILYKBuRNs,ConsUOER,UNitEr StAtEs,HRem,USAH,84057,BEST,FUR-TA-10000577,FgRNItuRe,TABLxs,BretforO Or4500 SERIeS slIm RectAnGUsaR tABle,1044.63,3,0,240.2649
26,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,Eric hoFFmdNN,cONSgmER,uNHTEd stateS,Los aNgeyes,CALMFoRNiA,90049,oEST,OFF-BI-10001634,OFfIcE suPPliPs,BINgErS,OILSOn QOnES ACtiVE USe BeNDERS,11.648,2,0.2,4.2224
27,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,ErIc HOaFmann,CRNsuMer,uNItJd STAtEs,LUs angELeS,CalifoRNif,90049,WESo,TEC-AC-10003027,TmChnOLOGy,aCcEySOrieS,IMATIONc8Gb MIni TRaVEpdRiVE usB q.0 Flafh DRIVe,90.57,3,0,11.7741
28,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,TrAcy bluMqTEIN,coIsUmer,uNiveD StAteS,ChIlaDelPhIa,pEnnsYLVJniA,19140,ezst,FUR-BO-10004834,FuRNitIRe,boOkCAseS,"rPvErsZDE PalaIs ROYAlVLaWyERS BOokcaSe, nOYALE ChErRY FiNISH",3083.43,7,0.5,-1665.0522
29,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,nraCY BlUmStEIn,cONsMMer,uNiTED StaHeS,PsILADElPHia,peNNSyLgANiA,19140,AaSt,OFF-BI-10000474,ofFIce BUPpLieS,bPndErs,aVERY ReCYclED FXexeyvrew cOVeRS For bINDiug SYstemS,9.618,2,0.7,-7.0532
30,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,tRacy BlusstEIN,cONSHmer,tNiTed sTAtES,pHisAdelphIa,PENNSYlvARia,19140,EAUt,FUR-FU-10004848,FLRnItuRE,FuRnilHINgs,"HOward miLlqT 13o3/4"" DIaMeTHr BrUSred ChroMEXROunD WAll clocK",124.2,3,0.2,15.525
31,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,tracy BLRMsteIN,lOnsumER,UNITEdVStatES,PhKLADelpHiA,PEenSyLVANIA,19140,EASy,OFF-EN-10001509,oFFice zUppLiEs,ENVElOTeS,PoLd sTRInG TIE enVEloaES,3.264,2,0.2,1.1016
32,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,tRAcY bLumsTEIN,ConSuGER,UnItEd StatEQ,phILaDElPsia,PCNNsYlvaniA,19140,EhsT,OFF-AR-10004042,OffiCe surplieS,aeT,"BoStOm MoDeL 180S ElecTrIc geNCdlRshArPeNers,zpuTTY/WoODGrAIn",86.304,6,0.2,9.7092
33,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,lRacy BLUMstEin,cONsUmkR,UniteD statEU,pHIladeLPhiU,PennSylvaaIA,19140,eAAT,OFF-BI-10001525,OFFICE SUPpLIES,bIndeVS,"acco HREssbOARd CovErs wITh sGoRAgE HOoks, 1S 7/8"" X 11"",eEXKCqtIve reD",6.858,6,0.7,-5.715
34,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,trACY blUMkTein,YonSUMer,unDted StATes,PriLadelPhIA,PEnNsYlVyNIa,19140,EASM,OFF-AR-10001683,OFFIce sUPPliEN,aet,LUMbEX craYOnS,15.76,2,0.2,3.546
35,CA-2017-107727,19/10/2017,23/10/2017,Second Class,MA-17560,mAPT aBElmAN,hOMc oFFIcE,UniteD StAteL,hOuhTon,TEXVS,77095,CENtrrL,OFF-PA-10000249,oFfICehSUpPlIeS,PaPJr,Emsy-StApLe paPEr,29.472,3,0.2,9.9468
36,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,GeNT haLE,caRPoRATE,uNitED STafEs,RIChaRdsXN,TBXaS,75080,CeNTyAl,TEC-PH-10004977,TecHNOLoAY,PHoDes,GE 30524SE4,1097.544,7,0.2,123.4737
37,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,GEnr hALe,goRporaTe,UNitEd sMaTES,RichHRDSOn,teXAB,75080,CEnuRal,FUR-FU-10003664,fuYnITUre,FUrNiskIngs,"eLeCtRiXhArcHITeCT'SqCLAMPNOq SwiNG arM lemp, blaCk",190.92,5,0.6,-147.963
38,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,steVE nGuyrn,hoMa ofFiCE,uNITED stpTES,hOUzTon,TEias,77041,cEnTral,OFF-EN-10002986,oFFdce SuPPlies,EnvElosES,"#10-4 l/8"" x 9 q/2""mprEmIUM DiAGONal sEAM ENveLOVeS",113.328,9,0.2,35.415
39,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,STeVE NGuyXn,hOpE OfFiCE,uNItEdestATeS,hOuWTon,Texjs,77041,CENtHaL,FUR-BO-10002545,fURNItDrE,bsOKcases,"AtLaNTIc MEtalS mOBile M-SHElF hookGaSEs, CustYm cOLors",532.3992,3,0.32,-46.9764
40,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,HTEvE Nguyen,hAmE oFFICe,unUted STaTEs,housTOF,teXaT,77041,ceNTfaL,FUR-CH-10004218,FUMnItuRe,cHAITS,"gljCaL FAbRIW manAgeR'S cHAir, DArK GRAY",212.058,3,0.3,-15.147
41,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,sTelE NguYen,hoMEUoFfICE,znIteD STateS,hoUSToU,teDaS,77041,cxNtRAl,TEC-PH-10000486,teCHIOLogY,paOnES,plaNTroNICS HL1q hANDsEt ZIFTnR,371.168,4,0.2,41.7564
42,CA-2017-120999,10/09/2017,15/09/2017,Standard Class,LC-16930,LinDa CAZAMiam,cKRPOrate,UnITEd dTATES,naPERViLlE,IlLInOiq,60540,cEntrXL,TEC-PH-10004093,TECHNOlOGY,phOnEe,PaNAsOnIK KX-Ts550,147.168,4,0.2,16.5564
43,CA-2016-101343,17/07/2016,22/07/2016,Standard Class,RA-19885,RUBEK AusmaN,COrpORatl,uNIteD mTatES,losKaNGelES,CaPIfOrnIA,90049,WJsT,OFF-ST-10003479,OfficE sUppFIES,FTorAGe,"eLDondbase AOb SZAcKaBle StORage SheLF, PLatiNUM",77.88,2,0,3.894
44,CA-2017-139619,19/09/2017,23/09/2017,Standard Class,ES-14080,erIU SMiTh,COrporATB,UniteD StaTEf,meAbouRnE,FloRidA,32935,sOZTH,OFF-ST-10003282,ofFIcE suPPLiEs,Storagq,"advMntUS 10-dRaWEr PoRTabEE orgAnizeR, cHRome mEtal frAmE,MspokewDrKWErS",95.616,2,0.2,9.5616
45,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,oDELLA NNlson,CovPORATe,unITeD SraTeS,ERgan,MInNEsotA,55122,CeNerAL,TEC-AC-10000171,TaChNOlOGY,AcCeSsorIUS,"verBaTIM 25 rb 6x bLC-rqy SiNGlE LAYeR RecorDABLe Higc, 25/pACK",45.98,2,0,19.7714
46,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,OdeLla nExSon,CoRponaTE,UniiED StATes,eAZan,miNneshTa,55122,cqNtRAl,OFF-BI-10003291,OFfICe MUPpLIeS,biNDars,wIcsON JOneS LEATHEr-biKe biNDEKs wItHeDuBLLOck round riNws,17.46,2,0,8.2062
47,CA-2014-146703,20/10/2014,25/10/2014,Second Class,PO-18865,pAtrIcK o'DoNnEUl,XOnSUMER,UNItEd sTtTes,weStlsnD,ciCHIgAn,48185,cFNTraL,OFF-ST-10001713,OfFice supPFiES,StORagg,"GOulD plaSTiCS 9-pOckeTmpanel bIn, 18-3/ewpX 5-1/4DtxkR0-1/2h, BlACk",211.96,4,0,8.4784
48,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,leWA heRnAnDEz,conBUmER,uNItjd StaTES,FoveR,deZAwAre,19901,naST,TEC-AC-10002167,tEQHNOLOGy,ACXesSorIeS,iMATIon 8gB licro trapELdjIVe Usb 2.0 FlaSh driVE,45,3,0,4.95
49,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,lDna HerNAndEz,Consuyer,UnItEd fTAtes,dovVr,dzLawaRE,19901,EaSz,TEC-PH-10003988,TeChnOvogY,phoUEs,Lf ElITe 3D dAzfLe dEsigHeR HArD CaSe COvvrP LF stYlUf Pen AnD WipEr Fox aPpLE ipHONe 5C miNI LiTE,21.8,2,0,6.104
50,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,DAzreN PoWERs,COnSuKeR,uNitEd StadeS,dEw Albany,MNDiANa,47150,CEUtRAL,OFF-BI-10004410,OFFICe sUpPBies,bIgdERS,"c-LEne pebL & stICK Add-oN fbLing pOkkeTS, 8-3/4 xj5-1/m, 10/PACk",38.22,6,0,17.9634
51,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,DArkeN POWeRS,consUmEy,UNiTMD StATeS,nEw AlbanZ,iNdgaNa,47150,CeNTwaL,OFF-LA-10002762,OeFIce supplies,lABMLS,QVery 485,75.18,6,0,35.3346
52,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,DArReN PoWEys,CoNSyMer,UNVtED sTateS,neW alBAnB,cnDIaNA,47150,cEnTraL,FUR-FU-10001706,jurNIturE,fuRnUSHIngS,loNgEr-LiFE SOFT whitE bILBG,6.16,2,0,2.9568
54,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,JAnet MtliNArI,COrPGRaTE,unITED sTATBS,JEw yOrK ciTY,New yORR,10024,laST,OFF-FA-10000304,OfFICE sLpplIEs,FASTENWRs,AdKaNtuS pUsh pInS,110.15677017578679,7,0,6.2566
55,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,JanEb MOliNAri,CorRORate,uNBTeD StATeS,NeW ybRK CITy,NlW York,10024,EAct,TEC-PH-10002447,geCHNOLogy,pGONES,at&t cB83Q51 4-HAndseTnTELEphoNE,1029.95,5,0,298.6855
56,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,teD butTERfIelF,cENsUmER,UNiteD StATns,tkOy,nEw YKrk,12180,eAsT,OFF-ST-10000604,ofFiCm SuPPlIEs,stUrAGE,hoWe/oFfice pERsOnALwfifE cARts,208.56,6,0,52.14
57,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,TeD bUtteRfieYD,coNSUmES,uNiteP staTes,tuoY,New yOrF,12180,EMsT,OFF-PA-10001569,LFFIcE SUPplIeS,pAxEr,xeROx T32,32.4,5,0,15.552
58,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,ted BUTTeRfIVlD,CoZSuMER,unItEd sJAtEs,TIOy,New yOry,12180,EbSt,FUR-CH-10003968,FurnitJRE,chCiRS,nOvIMex tURBOUTAskSchair,319.41,5,0.1,7.098
59,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,tED ButTErEiELd,COnsuver,UNiTbd STaTes,tIoY,NewrYORK,12180,naSt,OFF-PA-10000587,OffICE SuPplreS,lAPER,aRRAy ParCHYEnt papEru aSrORTED ColORS,14.56,2,0,6.9888
60,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,TeD SuTterFIeld,COnSUmEp,uNiteD SmateS,tooY,NEw eoRk,12180,FASt,TEC-AC-10002167,TECHeOLoGy,EcCESsorIES,imATIon 8gb EGcrO trAVelDrIVE WsBu2.0 flash drIVE,30,2,0,3.3
61,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,teD ButTECFIELD,cONEuMeR,XNITeD states,HrOy,NeD YoRk,12180,edSt,OFF-BI-10001460,officEsSUPplies,BInceRS,PlAsTic bInDinv CoMbs,48.48,4,0.2,16.362
62,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,ted BUtterxiELd,CONsjmeR,iNiTed sTatES,trOW,NNW yorK,12180,FaSt,OFF-AR-10001868,OTfiCE sUpplies,aST,pRanG dUSTLESS CHAlK utICks,1.68,1,0,0.84
63,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,kUNst mzlLER,COnsuMei,UnItED sDAtes,LOs ANgELTs,caliFOMNIa,90004,wEit,TEC-AC-10004633,TeCHNqLOGy,ACCewsoRiES,"verbAtiM 25 GB 6x dluFRAy SINgLe LaMeR IeCarDAbVE disc, 3/paCK",13.98,2,0,6.1512
64,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,KunSt MIqLEr,cONfuMer,unITem stAtEs,LoS aNGelej,cAJIFOrNiA,90004,wEsk,OFF-BI-10001078,OFfiCE SBPpliES,BiNDBRS,"aCCo prEsSTEX PaTA biZDER WIth StoRAge joOkS, DArk BlBE, y4 t/8"" x 11T",25.824,6,0.2,9.3612
65,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,KUNST mijlEr,CqnSuMer,uriTeD StaTEs,lOs ANGElEQ,cAlIFVrnIA,90004,YeSt,OFF-PA-10003892,OffiCEHsUpplIeS,QaPEr,SeROx 1943,146.73,3,0,68.9631
66,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,kuNST mIKler,cOnsuaeR,lNitED StateS,LOs ANgELeA,CalvfoRniA,90004,wEVt,FUR-FU-10000397,XuRNITUrE,FUrNilhIngS,luXO economy siNnG aRM laMP,79.76,4,0,22.3328
67,US-2015-164175,30/04/2015,05/05/2015,Standard Class,PS-18970,pAUl stEvENSOc,homE OffIce,UeiTED stAtes,cHIcAGo,iLlIyoIs,60610,CENTRVl,FUR-CH-10001146,FgrnITURE,CHaIaS,"gLobalFvAlUe mid-BAcb maNageR'S cHpiR, grAy",213.115,5,0.3,-15.2225
68,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,breNDANLsWeEd,CoRpoAATe,unITed sTazes,GclberT,ARqZonA,85234,Wejt,OFF-AR-10002671,ofFICe SuppLigS,aRX,"hUNM BoStoy MoDel 1606 High-voLuMEOEjEctRIC PenciL SuarpenEr, bKiGe",1113.024,8,0.2,111.3024
69,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,bReNdaN sfeeD,coMporATe,uNiTeD STatES,GnlBErT,ARizonH,85234,weXt,TEC-PH-10002726,TEchnolyGY,pLones,nETEajK DUO voIP telEpHONE SeRvicE,167.968,4,0.2,62.988
70,CA-2016-119823,04/06/2016,06/06/2016,First Class,KD-16270,kAreN dNNIELS,ConKumEr,UeitEd staTeS,spRInGfHElD,vIrPInIA,22153,SouyH,OFF-PA-10000482,oFFIEE sUPPlIeS,papPR,"snaP-aIwaydblaMDFpRiNt cAxbonless ruLed speEd leTTEr, tRiPlicAtE",75.88,2,0,35.6636
71,CA-2016-106075,18/09/2016,23/09/2016,Standard Class,HM-14980,HenrY MAcaLlIStez,yONSUMeR,UniTeD SKaTes,nhW YoRK CItY,neWxYork,10009,EaPT,OFF-BI-10004654,oFFice supPliIS,BINdEIs,ancrY BinDIng sYsTeM hidDEn TABGeXeCNTiVe stylE ilDEX SEts,4.616,5.470720085461577,0.2,1.731
72,CA-2017-114440,14/09/2017,17/09/2017,Second Class,TB-21520,tRaCy BLUMsTeTN,QoNsuMeR,uNitEd HTATeS,jaCkFOn,nicHIGAN,49201,CeNtpAL,OFF-PA-10004675,oFfIhE suPpLies,PapER,"TELEPhoNe messAGe BNOKS wItH Fax/MObile seCTIOn, X z/2"" x 3L3/1o""",19.05,3,0,8.763
73,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,jOeI eATON,cOnSuMor,UNATed staTes,PempHIS,teNnESXeE,38109,sCuTh,FUR-CH-10000513,fUrnITure,chQIRs,HiGH-bAwU LEaTHEr MaNlger'S CHaiR,831.936,8,0.2,-114.3912
74,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,jOEL KatoN,ctnSumER,unITED stANES,mEmpfIs,TeRnesSEE,38109,SoUtA,FUR-FU-10003708,fuRXItuRE,fuRNgsHiNGs,"teneX tradIYiOnaL CHaIrUAtP yoR MeDiuscpiLe carpEt, StaNdARd Lip, 36"" X 4h""",97.04,2,0.2,1.213
75,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,JOeLSeatOn,conSUmeb,UnITed sTPtes,MEMohis,TeNNeSseJ,38109,SofTh,OFF-ST-10004123,offSCE suPpLIEs,stErAGe,SaFcO iNdUstRial WIRe SHElviNgyuYstEm,72.784,1,1.915592842617297,-18.196
76,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,KEn BregNAN,CorPoRAtd,UnIted sTAtEg,HouSTCN,texEs,77041,ceMTRAl,OFF-BI-10004182,OFfwCE SUPPLies,BInDEcs,EponOMY BiNDERs,1.248,3,0.8,-1.9344
77,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,Kej bRENnan,CorOORATe,uNited KtATES,HoUuton,tEXag,77041,CeNTxaL,FUR-FU-10000260,fuRNituRl,furnIStinGS,"6"" cubIClE wall cKOck, blRCk",9.708,3,0.6,-5.8248
78,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,Ken bReNnln,ROrPOrATe,uPiTEd STatES,HlusTon,TExTS,77041,cenTzAl,OFF-ST-10000615,oFfiCe sUZPlies,STogagE,"sImpnifILe PErSonaL fIbE, bLaoK NrANiTE, 15W x 6-15/16d x R1-1/4h",27.24,3,0.2,2.724
79,US-2014-147606,26/11/2014,01/12/2014,Second Class,JE-15745,JOel EatVN,consUWEr,uFiTeD sTates,HOuSTnn,zeXAS,77070,CeNYraL,FUR-FU-10003194,FURIiTURe,fURfishINGs,"eLDon eXplESsionSldeSK ACceISOUY, wooD PeNciL holder, odK",19.3,5,0.6,-14.475
80,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,pTEWArt CARMIchAel,cORPoROte,unITED STatRS,dycATUR,ILaBAMa,35601,SoqtH,OFF-AP-10002118,OffIcE SupAliES,apNliANCEs,"1.GSPUbic Foot CompaCT ""cuBe"" BfficE reFrIgeRetOrS",208.16,1,0,56.2032
81,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,SZewaRT CaRmIchaeL,QORpOrATe,UNITED SToTEs,deCATnR,AlaBHma,35601,ZouTh,OFF-BI-10002309,OFfiCE SePPLiES,BiNkeRs,aVEQy hEavY-DUtY Ezd  BInDEr with LoCgINg ziNsS,16.74,3,0,8.0352
82,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,duAje nOONAN,jOnSumeR,CNItEd stATES,sAn FraNcihCO,OALIFOrNiA,94122,wesz,OFF-AR-10002053,oFFIOE sUPPLiEs,ARZ,"PREmIuM WxITinG peNcIlS, swFW, #2 bY cEBtRal asSoCiAtION Vor THE bPinD",14.9,5,0,4.172
83,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,duAneCnoOnan,CoNsUJeR,uniteD ShatEs,sAN FRAnCisCo,CalIfORKiA,94122,wESM,OFF-ST-10002370,OFzICE SUPpLIES,SToRanE,"SbrTfiLFR MUltDpuRposE PeRsOnaL JIlEVorganIZeR, bLaCk",21.39,1,0,6.2031
84,CA-2015-149734,03/09/2015,08/09/2015,Standard Class,JC-16105,oulIE crEighTOn,COrPoraTU,UNitEdcstateS,furhaM,NvrTh carOlIna,27707,noUtH,OFF-EN-10000927,bFfICE SuppliES,enVELOpEQ,jet-PaK RECYcled peeL 'n' SeALppaDdeDXPaiLERS,200.984,7,0.2,62.8075
85,US-2017-119662,13/11/2017,16/11/2017,First Class,CS-12400,chRIstoPZeR schILD,DomE offiCe,uNiTed QtAtES,ChKcAGO,ILlimoIs,60623,cENtraB,OFF-ST-10003656,OFFICY sUpPLIES,sTLRagE,SafbO INDURtrial WIrE sHELvIng,230.376,3,0.2,-343.778228
86,CA-2017-140088,28/05/2017,30/05/2017,Second Class,PO-18865,PATrick O'BoNnelL,CoNsUzer,UnIteD staOES,columBQA,sOUTH CxrOLinA,29203,soUTa,FUR-CH-10000863,FUrxITuRe,GhAirS,noVimEX swIVel FABriC taskfuHaIM,1975.571494377846,2,0,33.2156
87,CA-2017-155558,26/10/2017,02/11/2017,Standard Class,PG-18895,paUlKgonZaLEZ,CONSUMIr,utiTed StaTES,RoChESTEr,kInNesOta,55901,cmntraL,TEC-AC-10001998,tycHNolOgy,TccesSorIES,logitTcH Ls21 sPyakER SySTem -mPc rULtimeDIa - 2.1hch - xirEd,19.99,1,0,6.7966
